stream,date,depth,depth_7day average
VAL,9/7/2003,1.042083333,1.210654762
VAL,9/8/2003,0.97375,1.173154762
VAL,9/9/2003,0.925,1.123928571
VAL,9/10/2003,1.153333333,1.106011905
VAL,9/11/2003,1.28625,1.11375
VAL,9/12/2003,1.195,1.110178571
VAL,9/13/2003,1.350416667,1.132261905
VAL,9/14/2003,1.244583333,1.161190476
VAL,9/15/2003,1.080416667,1.176428571
VAL,9/16/2003,0.87875,1.169821429
VAL,9/17/2003,1.109583333,1.163571429
VAL,9/18/2003,1.269583333,1.161190476
VAL,9/19/2003,1.175833333,1.158452381
VAL,9/20/2003,1.186666667,1.135059524
VAL,9/21/2003,1.246666667,1.135357143
VAL,9/22/2003,1.227083333,1.156309524
VAL,9/23/2003,1.1575,1.196130952
VAL,9/24/2003,1.221666667,1.212142857
VAL,9/25/2003,1.262916667,1.211190476
VAL,9/26/2003,1.277083333,1.225654762
VAL,9/27/2003,1.248333333,1.234464286
VAL,9/28/2003,1.166666667,1.223035714
VAL,9/29/2003,1.107916667,1.206011905
VAL,9/30/2003,1.227916667,1.216071429
VAL,10/1/2003,1.205833333,1.213809524
VAL,10/2/2003,1.075,1.186964286
VAL,10/3/2003,1.12375,1.165059524
VAL,10/4/2003,1.099166667,1.14375
VAL,10/5/2003,1.164166667,1.143392857
VAL,10/6/2003,1.121666667,1.145357143
VAL,10/7/2003,0.964166667,1.107678571
VAL,10/8/2003,0.949166667,1.071011905
VAL,10/9/2003,0.863333333,1.04077381
VAL,10/10/2003,0.985416667,1.021011905
VAL,10/11/2003,1.092916667,1.020119048
VAL,10/12/2003,1.156666667,1.019047619
VAL,10/13/2003,1.265,1.03952381
VAL,10/14/2003,1.066666667,1.054166667
VAL,10/15/2003,1.0525,1.068928571
VAL,10/16/2003,1.282083333,1.12875
VAL,10/17/2003,1.354166667,1.181428571
VAL,10/18/2003,1.297083333,1.210595238
VAL,10/19/2003,1.272916667,1.227202381
VAL,10/20/2003,1.368333333,1.241964286
VAL,10/21/2003,1.432916667,1.294285714
VAL,10/22/2003,1.265416667,1.324702381
VAL,10/23/2003,1.240416667,1.31875
VAL,10/24/2003,1.355416667,1.318928571
VAL,10/25/2003,1.514583333,1.35
VAL,10/26/2003,1.544583333,1.388809524
VAL,10/27/2003,1.308333333,1.380238095
VAL,10/28/2003,0.968333333,1.313869048
VAL,10/29/2003,0.655,1.226666667
VAL,10/30/2003,0.767916667,1.159166667
VAL,10/31/2003,0.900416667,1.094166667
VAL,11/1/2003,0.892916667,1.005357143
VAL,11/2/2003,0.8,0.898988095
VAL,11/3/2003,0.79125,0.825119048
VAL,11/4/2003,0.909166667,0.816666667
VAL,11/5/2003,0.994583333,0.865178571
VAL,11/6/2003,1.178333333,0.923809524
VAL,11/7/2003,1.135833333,0.957440476
VAL,11/8/2003,1.137083333,0.992321429
VAL,11/9/2003,0.993333333,1.019940476
VAL,11/10/2003,1.04,1.05547619
VAL,11/11/2003,1.070416667,1.078511905
VAL,11/12/2003,1.280833333,1.119404762
VAL,11/13/2003,1.044166667,1.100238095
VAL,11/14/2003,1.027916667,1.084821429
VAL,11/15/2003,0.959166667,1.059404762
VAL,11/16/2003,0.790833333,1.03047619
VAL,11/17/2003,0.908333333,1.011666667
VAL,11/18/2003,1.208333333,1.031369048
VAL,11/19/2003,0.97625,0.987857143
VAL,11/20/2003,0.891666667,0.966071429
VAL,11/21/2003,0.79,0.932083333
VAL,11/22/2003,0.925,0.927202381
VAL,11/23/2003,1.165,0.980654762
VAL,11/24/2003,0.852916667,0.972738095
VAL,11/25/2003,0.759166667,0.908571429
VAL,11/26/2003,0.93625,0.902857143
VAL,11/27/2003,1.482083333,0.987202381
VAL,11/28/2003,1.3175,1.062559524
VAL,11/29/2003,1.119583333,1.090357143
VAL,11/30/2003,1.194583333,1.094583333
VAL,12/1/2003,1.159166667,1.138333333
VAL,12/2/2003,1.270416667,1.211369048
VAL,12/3/2003,1.187777778,1.247301587
VAL,12/4/2003,1.064285714,1.187616213
VAL,12/5/2003,0.849166667,1.120711451
VAL,12/6/2003,0.7775,1.071842404
VAL,12/7/2003,0.745,1.007616213
VAL,12/8/2003,0.92875,0.974699546
VAL,12/9/2003,0.939166667,0.927378118
VAL,12/10/2003,0.697083333,0.857278912
VAL,12/11/2003,0.747083333,0.811964286
VAL,12/12/2003,0.769583333,0.800595238
VAL,12/13/2003,0.68375,0.787202381
VAL,12/14/2003,0.5225,0.755416667
VAL,12/15/2003,0.99875,0.765416667
VAL,12/16/2003,1.106666667,0.789345238
VAL,12/17/2003,1.25625,0.86922619
VAL,12/18/2003,1.29875,0.948035714
VAL,12/19/2003,1.09375,0.994345238
VAL,12/20/2003,0.849583333,1.018035714
VAL,12/21/2003,0.954583333,1.079761905
VAL,12/22/2003,1.159166667,1.102678571
VAL,12/23/2003,0.967916667,1.082857143
VAL,12/24/2003,0.647083333,0.995833333
VAL,12/25/2003,0.661666667,0.904821429
VAL,12/26/2003,0.710833333,0.850119048
VAL,12/27/2003,0.99,0.870178571
VAL,12/28/2003,0.915833333,0.864642857
VAL,12/29/2003,0.522083333,0.773630952
VAL,12/30/2003,0.748333333,0.742261905
VAL,12/31/2003,0.692916667,0.748809524
VAL,1/1/2004,0.467083333,0.721011905
VAL,1/2/2004,0.614166667,0.707202381
VAL,1/3/2004,0.734583333,0.670714286
VAL,1/4/2004,0.8625,0.663095238
VAL,1/5/2004,1.174583333,0.756309524
VAL,1/6/2004,1.080833333,0.803809524
VAL,1/7/2004,0.939166667,0.838988095
VAL,1/8/2004,1.175833333,0.940238095
VAL,1/9/2004,1.249166667,1.030952381
VAL,1/10/2004,1.151666667,1.090535714
VAL,1/11/2004,1.094166667,1.123630952
VAL,1/12/2004,1.202083333,1.127559524
VAL,1/13/2004,1.27,1.154583333
VAL,1/14/2004,1.157083333,1.185714286
VAL,1/15/2004,0.918333333,1.148928571
VAL,1/16/2004,0.941666667,1.105
VAL,1/17/2004,1.027916667,1.087321429
VAL,1/18/2004,0.977083333,1.070595238
VAL,1/19/2004,0.983333333,1.039345238
VAL,1/20/2004,1.055,1.008630952
VAL,1/21/2004,1.21375,1.01672619
VAL,1/22/2004,1.228333333,1.061011905
VAL,1/23/2004,0.9675,1.064702381
VAL,1/24/2004,0.577083333,1.000297619
VAL,1/25/2004,0.704782609,0.961397516
VAL,1/26/2004,0.864166667,0.944373706
VAL,1/27/2004,0.84625,0.914552277
VAL,1/28/2004,0.85625,0.863480849
VAL,1/29/2004,0.857916667,0.810564182
VAL,1/30/2004,0.593333333,0.757111801
VAL,1/31/2004,0.677083333,0.771397516
VAL,2/1/2004,0.72125,0.77375
VAL,2/2/2004,0.774583333,0.760952381
VAL,2/3/2004,0.565,0.72077381
VAL,2/4/2004,0.707916667,0.699583333
VAL,2/5/2004,1.016666667,0.722261905
VAL,2/6/2004,1.089583333,0.793154762
VAL,2/7/2004,0.875,0.821428571
VAL,2/8/2004,0.970416667,0.85702381
VAL,2/9/2004,1.10625,0.904404762
VAL,2/10/2004,1.214583333,0.997202381
VAL,2/11/2004,1.253333333,1.075119048
VAL,2/12/2004,1.294166667,1.114761905
VAL,2/13/2004,1.159166667,1.124702381
VAL,2/14/2004,1.054583333,1.150357143
VAL,2/15/2004,0.960416667,1.148928571
VAL,2/16/2004,1.042083333,1.139761905
VAL,2/17/2004,0.945833333,1.101369048
VAL,2/18/2004,0.887083333,1.049047619
VAL,2/19/2004,0.9525,1.000238095
VAL,2/20/2004,1.001666667,0.977738095
VAL,2/21/2004,0.8625,0.950297619
VAL,2/22/2004,0.8225,0.930595238
VAL,2/23/2004,0.74875,0.888690476
VAL,2/24/2004,0.707916667,0.854702381
VAL,2/25/2004,0.7325,0.832619048
VAL,2/26/2004,0.529583333,0.772202381
VAL,2/27/2004,0.715833333,0.731369048
VAL,2/28/2004,0.756666667,0.71625
VAL,2/29/2004,0.750833333,0.706011905
VAL,3/1/2004,0.760416667,0.707678571
VAL,3/2/2004,0.825416667,0.724464286
VAL,3/3/2004,0.80125,0.734285714
VAL,3/4/2004,0.597083333,0.743928571
VAL,3/5/2004,0.700416667,0.74172619
VAL,3/6/2004,0.997083333,0.776071429
VAL,3/7/2004,1.409583333,0.870178571
VAL,3/8/2004,1.380416667,0.95875
VAL,3/9/2004,1.13,1.002261905
VAL,3/10/2004,1.201666667,1.059464286
VAL,3/11/2004,1.122083333,1.134464286
VAL,3/12/2004,0.946666667,1.169642857
VAL,3/13/2004,1.039166667,1.175654762
VAL,3/14/2004,1.089583333,1.129940476
VAL,3/15/2004,1.140833333,1.095714286
VAL,3/16/2004,1.11625,1.09375
VAL,3/17/2004,1.060833333,1.073630952
VAL,3/18/2004,0.95125,1.04922619
VAL,3/19/2004,1.220416667,1.088333333
VAL,3/20/2004,1.559166667,1.162619048
VAL,3/21/2004,1.457916667,1.215238095
VAL,3/22/2004,1.2475,1.23047619
VAL,3/23/2004,1.202916667,1.242857143
VAL,3/24/2004,1.285833333,1.275
VAL,3/25/2004,1.22125,1.313571429
VAL,3/26/2004,1.257916667,1.318928571
VAL,3/27/2004,1.309166667,1.283214286
VAL,3/28/2004,1.500416667,1.289285714
VAL,3/29/2004,1.4675,1.320714286
VAL,3/30/2004,1.319166667,1.337321429
VAL,3/31/2004,1.386521739,1.351705487
VAL,4/1/2004,1.489166667,1.389979296
VAL,4/2/2004,1.740833333,1.458967391
VAL,4/3/2004,1.765416667,1.524145963
VAL,4/4/2004,1.749583333,1.559741201
VAL,4/5/2004,1.710833333,1.594503106
VAL,4/6/2004,1.72875,1.65301501
VAL,4/7/2004,1.794583333,1.711309524
VAL,4/8/2004,1.777083333,1.752440476
VAL,4/9/2004,1.888333333,1.773511905
VAL,4/10/2004,1.862083333,1.787321429
VAL,4/11/2004,1.774166667,1.790833333
VAL,4/12/2004,1.730833333,1.793690476
VAL,4/13/2004,1.624583333,1.778809524
VAL,4/14/2004,1.62375,1.754404762
VAL,4/15/2004,1.499166667,1.714702381
VAL,4/16/2004,1.475,1.655654762
VAL,4/17/2004,1.347083333,1.582083333
VAL,4/18/2004,1.437916667,1.534047619
VAL,4/19/2004,1.441666667,1.492738095
VAL,4/20/2004,1.414166667,1.462678571
VAL,4/21/2004,1.335833333,1.421547619
VAL,4/22/2004,1.573333333,1.432142857
VAL,4/23/2004,1.623333333,1.453333333
VAL,4/24/2004,1.58875,1.487857143
VAL,4/25/2004,1.77375,1.535833333
VAL,4/26/2004,1.8975,1.600952381
VAL,4/27/2004,1.641666667,1.633452381
VAL,4/28/2004,1.4375,1.64797619
VAL,4/29/2004,1.56875,1.647321429
VAL,4/30/2004,1.759166667,1.66672619
VAL,5/1/2004,1.882916667,1.70875
VAL,5/2/2004,1.9375,1.732142857
VAL,5/3/2004,1.930833333,1.736904762
VAL,5/4/2004,1.853333333,1.767142857
VAL,5/5/2004,1.955,1.841071429
VAL,5/6/2004,2.179166667,1.92827381
VAL,5/7/2004,2.22125,1.994285714
VAL,5/8/2004,2.205416667,2.040357143
VAL,5/9/2004,2.136666667,2.068809524
VAL,5/10/2004,1.733333333,2.040595238
VAL,5/11/2004,1.824166667,2.036428571
VAL,5/12/2004,1.885416667,2.026488095
VAL,5/13/2004,1.944583333,1.99297619
VAL,5/14/2004,1.866666667,1.942321429
VAL,5/15/2004,1.732083333,1.874702381
VAL,5/16/2004,1.7975,1.82625
VAL,5/17/2004,1.7775,1.832559524
VAL,5/18/2004,1.963333333,1.852440476
VAL,5/19/2004,2.080416667,1.880297619
VAL,5/20/2004,1.979166667,1.885238095
VAL,5/21/2004,1.900416667,1.890059524
VAL,5/22/2004,1.88,1.911190476
VAL,5/23/2004,1.98625,1.938154762
VAL,5/24/2004,2.094583333,1.983452381
VAL,5/25/2004,2.006666667,1.989642857
VAL,5/26/2004,1.8225,1.952797619
VAL,5/27/2004,2.032916667,1.96047619
VAL,5/28/2004,2.267916667,2.01297619
VAL,5/29/2004,2.31875,2.075654762
VAL,5/30/2004,2.223333333,2.10952381
VAL,5/31/2004,2.112916667,2.112142857
VAL,6/1/2004,2.060833333,2.119880952
VAL,6/2/2004,2.097916667,2.15922619
VAL,6/3/2004,2.135416667,2.173869048
VAL,6/4/2004,2.293333333,2.1775
VAL,6/5/2004,2.302916667,2.175238095
VAL,6/6/2004,2.243333333,2.178095238
VAL,6/7/2004,2.072916667,2.172380952
VAL,6/8/2004,1.982083333,2.161130952
VAL,6/9/2004,1.9175,2.135357143
VAL,6/10/2004,2.0575,2.12422619
VAL,6/11/2004,2.157916667,2.104880952
VAL,6/12/2004,2.107916667,2.07702381
VAL,6/13/2004,2.11,2.05797619
VAL,6/14/2004,2.099166667,2.06172619
VAL,6/15/2004,2.095416667,2.077916667
VAL,6/16/2004,2.118333333,2.106607143
VAL,6/17/2004,2.098333333,2.112440476
VAL,6/18/2004,2.054583333,2.097678571
VAL,6/19/2004,2.162083333,2.105416667
VAL,6/20/2004,2.07375,2.100238095
VAL,6/21/2004,2.070416667,2.096130952
VAL,6/22/2004,2.024166667,2.085952381
VAL,6/23/2004,2.070416667,2.079107143
VAL,6/24/2004,2.151666667,2.08672619
VAL,6/25/2004,2.158333333,2.101547619
VAL,6/26/2004,2.109583333,2.094047619
VAL,6/27/2004,2.099583333,2.097738095
VAL,6/28/2004,2.0825,2.099464286
VAL,6/29/2004,2.093333333,2.109345238
VAL,6/30/2004,2.10875,2.114821429
VAL,7/1/2004,2.075,2.103869048
VAL,7/2/2004,2.00125,2.081428571
VAL,7/3/2004,1.850833333,2.044464286
VAL,7/4/2004,1.785416667,1.999583333
VAL,7/5/2004,1.872916667,1.969642857
VAL,7/6/2004,1.809166667,1.929047619
VAL,7/7/2004,1.576666667,1.853035714
VAL,7/8/2004,1.562916667,1.779880952
VAL,7/9/2004,1.5525,1.71577381
VAL,7/10/2004,1.562916667,1.674642857
VAL,7/11/2004,1.63125,1.652619048
VAL,7/12/2004,1.616666667,1.616011905
VAL,7/13/2004,1.569583333,1.581785714
VAL,7/14/2004,1.592916667,1.584107143
VAL,7/15/2004,1.623333333,1.592738095
VAL,7/16/2004,1.704583333,1.614464286
VAL,7/17/2004,1.6425,1.625833333
VAL,7/18/2004,1.761666667,1.644464286
VAL,7/19/2004,1.762083333,1.665238095
VAL,7/20/2004,1.70625,1.684761905
VAL,7/21/2004,1.640416667,1.691547619
VAL,7/22/2004,1.572083333,1.68422619
VAL,7/23/2004,1.546666667,1.661666667
VAL,7/24/2004,1.583333333,1.653214286
VAL,7/25/2004,1.593333333,1.629166667
VAL,7/26/2004,1.526666667,1.595535714
VAL,7/27/2004,1.378333333,1.548690476
VAL,7/28/2004,1.322083333,1.503214286
VAL,7/29/2004,1.277916667,1.461190476
VAL,7/30/2004,1.244583333,1.418035714
VAL,7/31/2004,1.224583333,1.366785714
VAL,8/1/2004,1.206666667,1.311547619
VAL,8/2/2004,1.219583333,1.267678571
VAL,8/3/2004,1.262916667,1.251190476
VAL,8/4/2004,1.205833333,1.234583333
VAL,8/5/2004,1.13625,1.214345238
VAL,8/6/2004,1.176666667,1.204642857
VAL,8/7/2004,1.28,1.212559524
VAL,8/8/2004,1.33625,1.231071429
VAL,8/9/2004,1.305,1.24327381
VAL,8/10/2004,1.280833333,1.245833333
VAL,8/11/2004,1.2625,1.253928571
VAL,8/12/2004,1.221666667,1.266130952
VAL,8/13/2004,1.20875,1.270714286
VAL,8/14/2004,1.22,1.262142857
VAL,8/15/2004,1.2525,1.250178571
VAL,8/16/2004,1.287916667,1.247738095
VAL,8/17/2004,1.395416667,1.264107143
VAL,8/18/2004,1.37125,1.279642857
VAL,8/19/2004,1.300416667,1.290892857
VAL,8/20/2004,1.253333333,1.297261905
VAL,8/21/2004,1.122083333,1.28327381
VAL,8/22/2004,0.91375,1.234880952
VAL,8/23/2004,1.0425,1.199821429
VAL,8/24/2004,1.083333333,1.155238095
VAL,8/25/2004,1.159166667,1.124940476
VAL,8/26/2004,1.37125,1.135059524
VAL,8/27/2004,1.525,1.173869048
VAL,8/28/2004,1.424583333,1.217083333
VAL,8/29/2004,1.35625,1.280297619
VAL,8/30/2004,1.36625,1.326547619
VAL,8/31/2004,1.3575,1.365714286
VAL,9/1/2004,1.18625,1.369583333
VAL,9/2/2004,1.06625,1.326011905
VAL,9/3/2004,1.06625,1.26047619
VAL,9/4/2004,1.129583333,1.218333333
VAL,9/5/2004,1.189166667,1.194464286
VAL,9/6/2004,1.248333333,1.177619048
VAL,9/7/2004,1.197916667,1.154821429
VAL,9/8/2004,1.1475,1.149285714
VAL,9/9/2004,1.100416667,1.154166667
VAL,9/10/2004,1.1375,1.164345238
VAL,9/11/2004,1.150833333,1.167380952
VAL,9/12/2004,1.2025,1.169285714
VAL,9/13/2004,1.240833333,1.168214286
VAL,9/14/2004,1.273333333,1.178988095
VAL,9/15/2004,1.244583333,1.192857143
VAL,9/16/2004,1.265416667,1.216428571
VAL,9/17/2004,1.044583333,1.203154762
VAL,9/18/2004,1.067083333,1.191190476
VAL,9/19/2004,1.10375,1.177083333
VAL,9/20/2004,1.294166667,1.184702381
VAL,9/21/2004,1.5075,1.218154762
VAL,9/22/2004,1.422916667,1.243630952
VAL,9/23/2004,1.440833333,1.268690476
VAL,9/24/2004,1.477916667,1.330595238
VAL,9/25/2004,1.419166667,1.380892857
VAL,9/26/2004,1.372916667,1.419345238
VAL,9/27/2004,1.380833333,1.43172619
VAL,9/28/2004,1.257083333,1.395952381
VAL,9/29/2004,1.139166667,1.355416667
VAL,9/30/2004,1.132916667,1.311428571
VAL,10/1/2004,1.25625,1.279761905
VAL,10/2/2004,1.365833333,1.272142857
VAL,10/3/2004,1.401666667,1.27625
VAL,10/4/2004,1.342083333,1.270714286
VAL,10/5/2004,1.274583333,1.273214286
VAL,10/6/2004,1.239583333,1.287559524
VAL,10/7/2004,1.2825,1.308928571
VAL,10/8/2004,1.22125,1.303928571
VAL,10/9/2004,1.0475,1.258452381
VAL,10/10/2004,1.19375,1.22875
VAL,10/11/2004,1.306666667,1.223690476
VAL,10/12/2004,1.359583333,1.235833333
VAL,10/13/2004,1.432916667,1.263452381
VAL,10/14/2004,1.28125,1.26327381
VAL,10/15/2004,1.030833333,1.236071429
VAL,10/16/2004,0.8025,1.201071429
VAL,10/17/2004,0.622916667,1.11952381
VAL,10/18/2004,0.844583333,1.053511905
VAL,10/19/2004,0.786666667,0.971666667
VAL,10/20/2004,0.792916667,0.880238095
VAL,10/21/2004,0.889583333,0.824285714
VAL,10/22/2004,0.926666667,0.809404762
VAL,10/23/2004,0.905833333,0.824166667
VAL,10/24/2004,1.055416667,0.885952381
VAL,10/25/2004,0.894166667,0.893035714
VAL,10/26/2004,0.83375,0.899761905
VAL,10/27/2004,0.936666667,0.920297619
VAL,10/28/2004,0.954583333,0.929583333
VAL,10/29/2004,1.217916667,0.971190476
VAL,10/30/2004,1.114583333,1.001011905
VAL,10/31/2004,1.137916667,1.012797619
VAL,11/1/2004,1.409583333,1.086428571
VAL,11/2/2004,1.38375,1.165
VAL,11/3/2004,1.260416667,1.21125
VAL,11/4/2004,1.39,1.273452381
VAL,11/5/2004,1.44375,1.305714286
VAL,11/6/2004,1.372916667,1.342619048
VAL,11/7/2004,1.335416667,1.370833333
VAL,11/8/2004,1.212916667,1.342738095
VAL,11/9/2004,1.196666667,1.316011905
VAL,11/10/2004,1.264583333,1.316607143
VAL,11/11/2004,1.194583333,1.288690476
VAL,11/12/2004,1.205,1.254583333
VAL,11/13/2004,1.195833333,1.229285714
VAL,11/14/2004,1.28625,1.222261905
VAL,11/15/2004,1.197916667,1.220119048
VAL,11/16/2004,1.244166667,1.226904762
VAL,11/17/2004,1.373333333,1.242440476
VAL,11/18/2004,1.20125,1.243392857
VAL,11/19/2004,1.129583333,1.232619048
VAL,11/20/2004,1.09125,1.217678571
VAL,11/21/2004,1.054166667,1.18452381
VAL,11/22/2004,0.988333333,1.154583333
VAL,11/23/2004,1.045833333,1.12625
VAL,11/24/2004,1.09375,1.086309524
VAL,11/25/2004,0.901666667,1.043511905
VAL,11/26/2004,0.965833333,1.020119048
VAL,11/27/2004,0.735833333,0.969345238
VAL,11/28/2004,1.027083333,0.96547619
VAL,11/29/2004,1.146666667,0.988095238
VAL,11/30/2004,1.10125,0.996011905
VAL,12/1/2004,1.280416667,1.022678571
VAL,12/2/2004,1.38875,1.092261905
VAL,12/3/2004,1.344166667,1.146309524
VAL,12/4/2004,0.949583333,1.176845238
VAL,12/5/2004,0.83,1.148690476
VAL,12/6/2004,0.735416667,1.089940476
VAL,12/7/2004,0.757916667,1.040892857
VAL,12/8/2004,0.7375,0.963333333
VAL,12/9/2004,1.254583333,0.944166667
VAL,12/10/2004,1.365,0.947142857
VAL,12/11/2004,1.240833333,0.98875
VAL,12/12/2004,1.32625,1.059642857
VAL,12/13/2004,1.4025,1.154940476
VAL,12/14/2004,1.40625,1.247559524
VAL,12/15/2004,1.515833333,1.35875
VAL,12/16/2004,1.639583333,1.41375
VAL,12/17/2004,1.593333333,1.446369048
VAL,12/18/2004,1.635416667,1.502738095
VAL,12/19/2004,1.366666667,1.508511905
VAL,12/20/2004,1.144166667,1.471607143
VAL,12/21/2004,1.101666667,1.428095238
VAL,12/22/2004,1.241666667,1.388928571
VAL,12/23/2004,1.32375,1.343809524
VAL,12/24/2004,1.387916667,1.314464286
VAL,12/25/2004,1.11125,1.239583333
VAL,12/26/2004,0.975416667,1.183690476
VAL,12/27/2004,1.104583333,1.178035714
VAL,12/28/2004,1.055833333,1.171488095
VAL,12/29/2004,0.6625,1.08875
VAL,12/30/2004,0.710416667,1.001130952
VAL,12/31/2004,0.700833333,0.90297619
VAL,1/1/2005,0.85375,0.866190476
VAL,1/2/2005,1.080416667,0.881190476
VAL,1/3/2005,1.15125,0.887857143
VAL,1/4/2005,1.05,0.88702381
VAL,1/5/2005,1.12875,0.953630952
VAL,1/6/2005,1.03625,1.000178571
VAL,1/7/2005,0.690833333,0.99875
VAL,1/8/2005,0.683333333,0.974404762
